TV,Radio,Social Media,Influencer,Sales,Investimento,Rentabilidade
16000000.0,6566230.79,2907982.77,Mega,54732757.15,25474213.56,214.86
13000000.0,9237764.57,2409567.2,Mega,46677896.98,24647331.77,189.38
41000000.0,15886446.02,2913410.18,Mega,150177828.8,59799856.2,251.13
83000000.0,30020028.26,6922303.96,Mega,298246339.8,119942332.22,248.66
15000000.0,8437407.68,1405998.15,Micro,56594180.8,24843405.83,227.8
29000000.0,9614382.04,1027163.49,Mega,105889147.6,39641545.53,267.12
55000000.0,24893811.48,4273602.15,Micro,198679824.8,84167413.63,236.05
31000000.0,17355041.81,2289854.93,Nano,108733931.9,50644896.74,214.7
76000000.0,24648898.21,7130115.96,Macro,270189400.0,107779014.17,250.69
13000000.0,431127.82,2229423.02,Mega,48280582.23,15660550.84,308.29
62000000.0,24345188.79,5151483.17,Nano,224961019.2,91496671.96,245.87
42000000.0,15807337.4,3194924.64,Mega,145543991.6,61002262.04,238.59
64000000.0,20240423.93,3921147.97,Micro,229632380.7,88161571.9,260.47
0.0,22351667.09,3031815.33,Mega,276165351.3,25383482.42,1087.97
34000000.0,226326.49,2372705.62,Nano,121336419.3,36599032.12,331.53
36000000.0,3900195.98,60401.79,Nano,123526112.6,39960597.77,309.12
60000000.0,22353720.75,940801.84,Mega,212764396.8,83294522.59,255.44
25000000.0,9905842.65,1853224.9,Micro,89819922.6,36759067.55,244.35
100000000.0,36116091.49,3674295.98,Macro,353804638.7,139790387.47,253.1
92000000.0,40736989.67,4636563.9,Nano,329350539.6,137373553.57,239.75
46000000.0,12695092.29,3884583.84,Macro,162191333.5,62579676.13,259.18
78000000.0,35568223.82,2832450.09,Macro,276401339.9,116400673.91,237.46
37000000.0,2828972.46,4556701.24,Micro,128484661.9,44385673.7,289.47
99000000.0,37263818.65,6886534.81,Nano,349861575.2,143150353.46,244.4
75000000.0,20348987.97,1227180.5,Micro,272250107.8,96576168.46,281.9
54000000.0,27807614.0,4060781.97,Nano,192461908.3,85868395.97,224.14
0.0,34111673.59,4624148.29,Nano,342913372.4,38735821.88,885.26
27000000.0,7280088.96,2179478.01,Micro,96749373.43,36459566.97,265.36
21000000.0,9282685.17,3055758.38,Mega,76992928.07,33338443.55,230.94
40000000.0,13050410.81,1971184.8,Nano,139288789.4,55021595.61,253.15
67000000.0,24137615.93,5573093.35,Mega,234851025.3,96710709.28,242.84
90000000.0,29021016.61,6431995.29,Micro,323032182.7,125453011.9,257.49
12000000.0,3567660.71,3558311.36,Nano,40792195.33,19125972.08,213.28
81000000.0,27335775.11,5263650.38,Micro,290777573.5,113599425.49,255.97
43000000.0,16348711.04,2814013.46,Mega,150626494.7,62162724.5,242.31
47000000.0,17376525.62,1905040.27,Mega,161785152.3,66281565.89,244.09
43000000.0,18230192.43,4079293.02,Nano,155599195.3,65309485.45,238.25
75000000.0,23626238.41,6199769.16,Mega,263020687.2,104826007.57,250.91
79000000.0,23510570.67,2188926.06,Macro,281578942.2,104699496.73,268.94
65000000.0,24563546.23,3419668.08,Macro,231670047.7,92983214.31,249.15
43000000.0,12842128.42,2593697.32,Macro,148706966.5,58435825.74,254.48
82000000.0,27647585.45,5611221.83,Macro,294952415.1,115258807.28,255.9
68000000.0,21639201.24,3223647.71,Micro,242824881.1,92862848.95,261.49
98000000.0,37570952.06,8529604.37,Mega,351773067.9,144100556.43,244.12
26000000.0,10599532.51,679275.35,Macro,91922297.39,37278807.86,246.58
10000000.0,6145248.26,1591116.47,Macro,32566825.05,17736364.74,183.62
0.0,34859637.15,7781416.68,Mega,318969783.8,42641053.83,748.03
32000000.0,627618.77,2676075.17,Micro,115262566.8,35303693.94,326.49
29000000.0,8852094.41,41494.35,Macro,101873101.4,37893588.76,268.84
32000000.0,11524148.95,2566791.36,Mega,111899712.1,46090940.31,242.78
29000000.0,14434106.3,463277.33,Macro,104352665.3,43897383.63,237.72
91000000.0,40108527.28,7236170.47,Mega,326381712.4,138344697.75,235.92
83000000.0,34281411.79,8697487.4,Nano,300730532.5,125978899.19,238.72
72000000.0,23922695.82,3373809.66,Mega,255155165.2,99296505.48,256.96
47000000.0,24169131.94,2087910.26,Micro,161717087.1,73257042.2,220.75
10000000.0,3455868.38,2400118.07,Micro,39625678.24,15855986.45,249.91
49000000.0,10067626.16,1729667.41,Macro,169008112.9,60797293.57,277.99
14000000.0,5197856.19,413965.99,Mega,50988481.58,19611822.18,259.99
20000000.0,10750050.58,2442173.81,Macro,70471722.73,33192224.39,212.31
17000000.0,10447451.62,3356106.42,Nano,58590091.26,30803558.04,190.21
68000000.0,29892741.1,6096743.74,Mega,237772163.7,103989484.84,228.65
91000000.0,25045557.45,6109369.69,Macro,322100496.4,122154927.14,263.68
52000000.0,17113239.77,2638642.42,Mega,181079612.2,71751882.19,252.37
41000000.0,3921540.02,2527850.59,Nano,145919200.0,47449390.61,307.53
65000000.0,11656487.85,358471.53,Micro,228564649.1,77014959.38,296.78
82000000.0,31607690.79,3952448.11,Mega,288982239.3,117560138.9,245.82
14000000.0,18649441.83,4529927.08,Mega,49815674.05,37179368.91,133.99
84000000.0,31266408.36,8080731.56,Nano,299099052.0,123347139.92,242.49
99000000.0,30140569.12,6546158.02,Mega,351359890.2,135686727.14,258.95
15000000.0,2234293.41,1077718.26,Mega,55009712.38,18312011.67,300.4
64000000.0,24698521.88,6741382.76,Micro,223099146.2,95439904.64,233.76
70000000.0,15247726.2,4587703.38,Macro,247139401.4,89835429.58,275.1
77000000.0,26822350.02,5514187.22,Nano,274707100.0,109336537.24,251.25
81000000.0,20391946.85,3212250.26,Macro,289175758.7,104604197.11,276.45
46000000.0,17790134.54,4117631.99,Micro,168036538.7,67907766.53,247.45
0.0,6482293.44,866844.99,Macro,91177215.55,7349138.43,1240.65
56000000.0,25276087.04,3239265.21,Mega,198321521.6,84515352.25,234.66
98000000.0,33055158.73,6063457.72,Mega,349745296.5,137118616.45,255.07
47000000.0,18233961.7,827545.35,Mega,166137219.6,66061507.05,251.49
18000000.0,8808702.77,2414186.29,Nano,59289315.63,29222889.07,202.89
77000000.0,22955312.7,2642504.82,Mega,272632136.4,102597817.52,265.73
22000000.0,6041725.79,2136632.36,Mega,77417318.34,30178358.15,256.53
99000000.0,37717805.2,3590086.38,Nano,349423974.5,140307891.58,249.04
36000000.0,9096779.89,3818834.49,Mega,127092673.8,48915614.38,259.82
12000000.0,1648197.98,1305725.13,Mega,43065092.52,14953923.11,287.99
94000000.0,47116293.39,9322957.8,Micro,336593420.2,150439251.19,223.74
97000000.0,39232306.36,3698661.08,Nano,345313163.7,139930967.44,246.77
44000000.0,16912034.29,4034660.18,Macro,154206556.5,64946694.47,237.44
86000000.0,31521897.27,6398283.65,Mega,304743774.8,123920180.92,245.92
93000000.0,33059450.96,5789298.41,Micro,335209069.6,131848749.37,254.24
30000000.0,10645107.59,1915517.11,Macro,104180967.1,42560624.71,244.78
32000000.0,758066.66,2359200.24,Mega,112269694.0,35117266.9,319.7
29000000.0,2172596.34,4208324.5,Mega,103634865.9,35380920.84,292.91
72000000.0,25406596.37,3215455.4,Micro,262401171.5,100622051.77,260.78
14000000.0,8001265.85,4187834.31,Micro,51442983.95,26189100.16,196.43
95000000.0,38415224.97,7673636.55,Micro,336760633.1,141088861.52,238.69
20000000.0,3934783.49,328469.8,Nano,72625902.73,24263253.29,299.32
49000000.0,24359044.34,3797367.29,Nano,174198138.9,77156411.63,225.77
29000000.0,11213688.78,558836.58,Macro,98999637.68,40772525.36,242.81
0.0,7635819.37,1554145.84,Macro,56186729.88,9189965.21,611.39
39000000.0,13187256.35,2766352.27,Macro,140415285.9,54953608.62,255.52
87000000.0,33707898.22,3327272.72,Nano,309361668.1,124035170.94,249.41
38000000.0,9437711.71,4377587.81,Mega,133565488.7,51815299.52,257.77
43000000.0,9726736.05,337998.23,Macro,152254667.7,53064734.27,286.92
30000000.0,8421994.73,3279480.59,Macro,112308108.8,41701475.33,269.31
93000000.0,19956386.77,2261406.31,Mega,333579112.9,115217793.08,289.52
86000000.0,25260707.42,6765663.89,Nano,307619089.4,118026371.31,260.64
63000000.0,26035986.27,3290816.89,Nano,225486231.9,92326803.16,244.23
93000000.0,28038208.83,2924281.84,Nano,333966432.1,123962490.67,269.41
94000000.0,32146205.08,4610925.29,Macro,334645915.6,130757130.37,255.93
63000000.0,21846543.91,2642410.23,Macro,222468307.1,87488954.14,254.28
30000000.0,17469019.07,4337634.18,Nano,105185312.3,51806653.25,203.03
18000000.0,7291955.52,2317959.07,Micro,62317663.45,27609914.58,225.71
24000000.0,3426021.22,3176.76,Micro,86115535.66,27429197.98,313.96
56000000.0,14880181.19,2367556.82,Macro,197225133.0,73247738.01,269.26
40000000.0,17428849.65,3306706.15,Macro,143835914.8,60735555.8,236.82
74000000.0,29562950.98,2060719.7,Micro,263105633.0,105623670.68,249.1
52000000.0,14565895.04,1998218.4,Mega,182986014.3,68564113.44,266.88
74000000.0,20220867.93,4540904.52,Macro,267737338.4,98761772.45,271.09
0.0,30470485.29,6806918.97,Micro,336818690.3,37277404.26,903.55
70000000.0,15354189.3,1049369.56,Micro,250751387.9,86403558.86,290.21
99000000.0,33878243.51,8091610.99,Mega,356582143.4,140969854.5,252.95
42000000.0,15215236.12,1501445.96,Nano,145216474.6,58716682.08,247.32
85000000.0,31796938.26,2162502.38,Mega,303397391.0,118959440.64,255.04
38000000.0,8872274.68,1605213.4,Macro,132344367.9,48477488.08,273.0
30000000.0,15432672.47,3986570.2,Macro,104503926.2,49419242.67,211.46
49000000.0,21032180.38,5087016.96,Micro,174564112.8,75119197.34,232.38
27000000.0,6447508.16,1415638.25,Mega,96433432.82,34863146.4,276.61
30000000.0,4561312.16,1652759.62,Mega,104150356.5,36214071.78,287.6
100000000.0,36573808.21,5273156.17,Mega,354797374.7,141846964.38,250.13
21000000.0,1380311.07,5286680.96,Mega,80940725.09,27666992.03,292.55
38000000.0,18903609.11,4889993.45,Macro,131101518.8,61793602.56,212.16
39000000.0,9722746.02,903060.43,Micro,135544319.9,49625806.44,273.13
14000000.0,4828279.79,286038.59,Micro,49187785.59,19114318.38,257.33
40000000.0,18378401.0,1320080.11,Mega,141380123.8,59698481.11,236.82
33000000.0,17449475.46,887761.6,Macro,119330807.4,51337237.06,232.44
88000000.0,26009639.87,1495600.76,Nano,321046689.4,115505240.63,277.95
67000000.0,28481820.95,1520803.89,Mega,240402758.1,97002624.84,247.83
65000000.0,20061555.75,3529274.2,Nano,226998931.8,88590829.95,256.23
95000000.0,30737285.76,8980234.38,Micro,341428140.2,134717520.14,253.44
95000000.0,36422306.23,9997472.2,Nano,335301431.1,141419778.43,237.1
0.0,9164463.98,1096681.43,Macro,65259189.23,10261145.41,635.98
77000000.0,31653200.1,7776978.4,Nano,273960377.2,116430178.5,235.3
70000000.0,21438518.56,5708104.98,Mega,249301904.8,97146623.54,256.62
34000000.0,16193652.73,792203.04,Mega,117054655.7,50985855.77,229.58
59000000.0,13452175.97,1503082.16,Macro,208749505.3,73955258.13,282.26
30000000.0,12155583.5,932529.33,Macro,106099593.3,43088112.83,246.24
68000000.0,22389686.84,1506105.78,Micro,243081663.2,91895792.62,264.52
43000000.0,8573864.53,3298362.16,Micro,156953751.9,54872226.69,286.03
18000000.0,8477135.29,608817.35,Mega,61708486.57,27085952.65,227.82
84000000.0,33955619.3,4479871.09,Nano,299346603.7,122435490.39,244.49
61000000.0,28385187.16,6157704.57,Micro,222450760.1,95542891.73,232.83
24000000.0,11886437.95,1558209.07,Micro,82549071.75,37444647.02,220.46
41000000.0,8715248.32,181466.49,Nano,144592086.9,49896714.81,289.78
67000000.0,18304641.11,4895171.9,Micro,234021177.0,90199813.02,259.45
51000000.0,24006925.74,4152022.01,Nano,183327735.1,79158947.75,231.59
100000000.0,36734134.89,7359714.28,Micro,354103969.7,144093849.17,245.75
44000000.0,18947954.99,2229813.82,Micro,160579638.8,65177768.81,246.37
10000000.0,758569.41,527880.86,Nano,35547998.02,11286450.27,314.96
21000000.0,1397371.11,1444591.13,Nano,77547947.67,23841962.24,325.26
32000000.0,5471955.57,672964.46,Micro,110374863.6,38144920.03,289.36
98000000.0,31363914.64,5657550.44,Nano,351426672.1,135021465.08,260.27
39000000.0,4856123.01,874163.26,Macro,131077254.5,44730286.27,293.04
0.0,38118423.7,6676611.42,Micro,328555184.2,44795035.12,733.46
40000000.0,19639063.06,795725.95,Micro,146145686.2,60434789.01,241.82
44000000.0,19015374.56,6543306.95,Mega,153582225.6,69558681.51,220.8
49000000.0,24871049.34,5036281.43,Nano,174986163.9,78907330.77,221.76
78000000.0,30117265.33,3357794.08,Macro,278955153.0,111475059.41,250.24
49000000.0,20423654.68,4346777.36,Mega,178374676.7,73770432.04,241.8
55000000.0,22374782.99,5066577.86,Mega,197011137.2,82441360.85,238.97
73000000.0,22867376.08,968984.23,Nano,261090881.8,96836360.31,269.62
58000000.0,17398775.06,4007447.15,Nano,204099035.0,79406222.2,257.03
82000000.0,23434787.08,5914866.13,Micro,288020745.2,111349653.21,258.66
